actorName,movieCount,ratingSum,normalizedMovieRank,googleHits,normalizedGoogleRank,normalizedRating
Laxmikant Berde,5,160,2.173909903,29100,1.071640015,2.279809952
Nandita Das,6,140,1.326089978,341000,1.876270056,2.255189896
Mukesh Tiwari,8,220,1.733700037,168000,1.429970026,2.233139992
Mahima Chaudhry,11,330,1.97826004,72600,1.183859944,2.232259989
Shahana Goswami,5,210,3.152169943,0,0,2.226589918
Tara Sharma,5,210,3.152169943,0,0,2.226589918
Smita Jaykar,5,210,3.152169943,0,0,2.226589918
Gulshan Grover,33,950,1.859680057,101000,1.257130027,2.206429958
Vidya Malvade,8,230,1.855980039,101000,1.257130027,2.204319954
Yashpal Sharma,10,300,1.97826004,43200,1.108019948,2.189029932
Manoj Bajpayee,20,540,1.684780002,154000,1.393849969,2.184679985
Ashutosh Rana,14,400,1.838510036,90700,1.230550051,2.179219961
Ravi Kishan,9,230,1.543480039,195000,1.499629974,2.164419889
Nafisa Ali,4,160,2.956520081,0,0,2.115080118
Arunoday Singh,4,160,2.956520081,0,0,2.115080118
Omkar Das Manikpuri,4,160,2.956520081,0,0,2.115080118
Himanshu Malik,4,160,2.956520081,0,0,2.115080118
Mimoh Chakraborty,4,160,2.956520081,0,0,2.115080118
Nushrat Bharucha,5,200,2.956520081,0,0,2.115080118
Sarika,4,160,2.956520081,0,0,2.115080118
Hema Malini,5,200,2.956520081,0,0,2.115080118
Krishna Bhatt,4,160,2.956520081,0,0,2.115080118
Dino Morea,14,340,1.419250011,198000,1.507369995,2.098040104
Tanushree Dutta,7,170,1.419250011,193000,1.49447,2.090679884
Zakir Hussain,10,210,1.097830057,312000,1.801460028,2.082459927
Asif Basra,7,200,1.838510036,20300,1.048939943,2.075710058
Sachin Khedekar,11,310,1.800400019,34000,1.084280014,2.074130058
Celina Jaitly,8,210,1.611410022,94400,1.240100026,2.055229902
Raima Sen,6,120,1,321000,1.824679971,2.039940119
Gul Panag,8,170,1.122280002,269000,1.690529943,2.033169985
Rakesh Bedi,8,210,1.611410022,76400,1.193660021,2.02876997
Rati Agnihotri,19,500,1.617849946,61200,1.154450059,2.010090113
Ali Fazal,4,150,2.711960077,0,0,1.975690007
Aarti Chhabria,5,120,1.391299963,116000,1.295819998,1.961539984
Satish Kaushik,9,220,1.434780002,98800,1.251449943,1.961030006
Seema Biswas,11,280,1.533599973,56100,1.141289949,1.954570055
Sanjay Suri,13,300,1.300999999,131000,1.334519982,1.932129979
Arun Bakshi,10,250,1.48913002,53400,1.134330034,1.925259948
Arya Babbar,6,140,1.326089978,107000,1.272609949,1.911139965
Namrata Shirodkar,6,140,1.326089978,95400,1.242679954,1.894090056
Dipannita Sharma,5,180,2.565220118,0,0,1.892060041
Manu Rishi Chadha,5,180,2.565220118,0,0,1.892060041
Sharad S. Kapoor,7,160,1.279500008,95600,1.243199944,1.867830038
Farida Jalal,12,280,1.326089978,76900,1.194949985,1.866889954
Mugdha Godse,4,140,2.46739006,0,0,1.836310029
